Case ID,Narrative Link.x,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget,
1987059901,,Unverifiable,1,1987059901,0,0,5,,1987,8,12,1988,Japan,China,,,,740,,,,,0,,,,6,,,,0,,,,,,,,,,,,,,,,,,,1,5,,1987,5,9,,,0,,,,1,16000000,USD,1987,1,,,,8,2,8,
198906900710,https://docs.google.com/document/d/1F4_fLg9t00Jkk0mGyob_FNAQ9S8mWgr3KzK0AN5s9H8/export?format=pdf,Australia Tiananmen,0,,0,1,,,1989,,,,Australia,China,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198906020710,https://docs.google.com/document/d/1SK3AepHTu66Ld5IaNlppYiYtecu5NPwEMAg8fI4QuOo/export?format=pdf,Canada Tiananmen,0,,0,0,6,,1989,,,,Canada,China,10,8,1992,20,,,,,0,,,,13,,,,1,1,,,0,4,,2,1,3,,,1,,,,,,,1,1,4,1990,1,1,,,0,,,,1,,,,1,,,,9,,,
198906002710,https://docs.google.com/document/d/1DMqJbraEdL2UZoestKlOAQ1U2Dk-L0Wr/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,USA Tiananmen,1,1989060601,0,0,6,6,1989,1,11,1990,United States,China,,,,2,200,740,260,220,1,1653 2400,,,8,,,,1,2,5,,,10 3,,2,2,1 5,,,2,,,,1,,,1,6,6,1989,4 5,4 9,,,3,,,,2,,,,1,,,,8,3,7,
1990010402,,Unverifiable,1,1990010402,0,0,1,4,1990,,,,Canada,China,10,8,1992,20,,,,,0,,,,13,,,,1,1,,,,4,,2,1,3,,,1,,,,,,,1,1,4,1990,1,1,,,0,,,,1,,,,1,,,,,,,
1990061101,,Unverifiable,1,1990061101,0,0,6,11,1990,,,,Germany,China,,,,255,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,6,11,1990,6,3,,,0,,,,1,,,,1,,,,,,,
199111002710,https://docs.google.com/document/d/1tF8WmL9FaJ-ecRcRTCuOG5w93trqBt30-DG016JNz-A/export?format=pdf,US China IP 1991,1,1991042901,0,0,4,29,1991,,,,Germany,China,,,,255,,,,,1,1653,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,4,29,1991,6,3,,,0,,,,1,,,,1,,,,,,,
199103002710,https://docs.google.com/document/d/1vU1W2VPDjappGBdTTZbWK9sCb08-tfnu28dQcwCL3fg/export?format=pdf,US-China Chemical Export Ban,1,1991011201,0,0,1,12,1991,7,31,1992,United Kingdom,China,,,,200,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,0,,,,,,,,0,,,,,,,,,,,,4,4,6,
1991032001,,Unverifiable,1,1991032001,0,0,3,20,1991,1,18,1992,United States,China,,,,2,,,,,0,,,,13,,,,1,2,6,1,,4,,2,2,3,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,5,7,3,
1991012201,,Unverifiable,1,1991012201,0,0,1,22,1991,,,,Germany,China,5,1,2006,255,,,,,1,1653,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,1,22,1991,6,3,,,0,,,,1,,,,1,,,,,,,
